code,pnl,rate,f1
002916,0.004540802917129819,0.0,0.5450236966824644
002791,-0.02175333339325957,-0.001,0.5260663507109005
002555,0.007656860211623476,0.0,0.5260663507109005
002371,0.004052993893927615,0.0,0.5165876777251185
002869,-0.0017370593832912098,0.0,0.5118483412322274
000333,-0.0038600670058588117,0.0,0.5071090047393365
002409,-0.003400793922751591,0.0,0.5071090047393365
300643,0.014361450681263882,0.001,0.5023696682464455
300789,-0.006129859958572754,0.0,0.5023696682464455
300456,0.008032666172707455,0.0,0.4976303317535545
002705,0.025882385928992297,0.001,0.4928909952606635
002192,0.04388396240919353,0.002,0.4928909952606635
000596,-0.0032401534102014726,0.0,0.4928909952606635
002624,0.0259778144651377,0.001,0.4928909952606635
300750,0.0010041404146740364,0.0,0.4928909952606635
002234,-0.006161482183372451,0.0,0.4881516587677725
000651,0.005488043948057369,0.0,0.4881516587677725
300572,-0.000649879403345456,0.0,0.4881516587677725
300628,-0.003991326261445463,0.0,0.4881516587677725
300552,0.02922868522310223,0.001,0.4881516587677725
300769,-0.010693178152656857,0.0,0.4881516587677725
002466,-0.023470847023026407,-0.001,0.4881516587677725
300770,0.01971198601533172,0.001,0.4881516587677725
000818,0.033552893116885744,0.002,0.4881516587677725
002439,0.0021993156086938274,0.0,0.4881516587677725
300598,-0.017001562261388513,-0.001,0.4881516587677725
002959,-0.010481197072347242,0.0,0.4834123222748815
300661,-0.028994011403780977,-0.001,0.4786729857819905
300476,0.014375925022928619,0.001,0.4786729857819905
300585,-0.02610664084652502,-0.001,0.4786729857819905
300474,-0.00876505798770771,0.0,0.4786729857819905
300701,-0.01188603310223207,-0.001,0.4786729857819905
002912,0.013401915220691864,0.001,0.47393364928909953
300223,-0.02128907226091359,-0.001,0.47393364928909953
000568,0.012765706133391425,0.001,0.47393364928909953
300568,0.018225004746867737,0.001,0.47393364928909953
002230,0.0005008232424561761,0.0,0.47393364928909953
300679,0.018223077145131016,0.001,0.47393364928909953
300346,-0.009957924454522142,0.0,0.47393364928909953
300394,0.009382018850342852,0.0,0.47393364928909953
002714,-0.007628232292401457,0.0,0.47393364928909953
300725,0.00882272442228153,0.0,0.47393364928909953
002803,0.004779857326436208,0.0,0.47393364928909953
300033,0.00139812328535525,0.0,0.47393364928909953
300810,-0.015904406920058043,-0.001,0.47393364928909953
002368,-0.0026198640408520405,0.0,0.47393364928909953
002007,-0.005898289010991651,0.0,0.46919431279620855
300739,0.01980492073857959,0.001,0.46919431279620855
002032,-0.006091879689174732,0.0,0.46919431279620855
300709,0.029969108240438053,0.001,0.46919431279620855
002833,0.020529620777194658,0.001,0.46919431279620855
000860,-0.016074717706746032,-0.001,0.46445497630331756
300655,-0.009111559489109687,0.0,0.46445497630331756
300724,0.03371510090463646,0.002,0.46445497630331756
300796,-0.008778338087825518,0.0,0.46445497630331756
300308,0.0005473257266867958,0.0,0.46445497630331756
002049,-0.0005561513964051709,0.0,0.46445497630331756
300502,0.005722888076719811,0.0,0.46445497630331756
000681,0.012330260388152948,0.001,0.46445497630331756
300122,0.013165019511540015,0.001,0.4597156398104265
300657,0.016799030345717784,0.001,0.4597156398104265
002508,-0.003417034831249062,0.0,0.4597156398104265
002236,0.007310009196254636,0.0,0.4597156398104265
300036,0.0013122706760291475,0.0,0.4597156398104265
300559,-0.014513501660423906,-0.001,0.4597156398104265
300482,0.0016910460910529715,0.0,0.4597156398104265
300666,0.002339283090298575,0.0,0.4597156398104265
300146,0.04630981017378233,0.002,0.4597156398104265
300802,0.011124001768082198,0.001,0.4597156398104265
300800,-0.002903386157774409,0.0,0.4597156398104265
002607,0.001912826779856099,0.0,0.4549763033175355
002812,0.015385996082636827,0.001,0.4549763033175355
002475,0.015027216309074621,0.001,0.4549763033175355
002422,-0.007559426667285247,0.0,0.4549763033175355
002414,0.029688353857983785,0.001,0.4549763033175355
300624,0.055037102418709606,0.003,0.4549763033175355
002241,0.022404076496058137,0.001,0.4549763033175355
300136,0.0030798449205416733,0.0,0.4549763033175355
300533,0.0029947474096408125,0.0,0.4549763033175355
002925,0.0240915843232597,0.001,0.4549763033175355
002138,0.03836740600898268,0.002,0.4549763033175355
002962,-0.002345173500039495,0.0,0.4549763033175355
300496,0.005373514024770692,0.0,0.4549763033175355
300773,-0.014336532640072062,-0.001,0.45023696682464454
000049,0.002613443133108559,0.0,0.45023696682464454
300790,0.01129718805407975,0.001,0.45023696682464454
000028,0.004849334067286994,0.0,0.45023696682464454
002733,-0.008982024464009147,0.0,0.45023696682464454
300747,-0.008155239350529808,0.0,0.45023696682464454
300576,-0.010030929810052913,0.0,0.45023696682464454
002683,-0.00942127899733157,0.0,0.45023696682464454
300632,0.008158620682041953,0.0,0.45023696682464454
300803,0.04984993892571204,0.002,0.45023696682464454
002756,-0.006257368691963839,0.0,0.45023696682464454
000710,-0.003305805230413489,0.0,0.45023696682464454
300793,0.008446424515939474,0.0,0.45023696682464454
300386,-0.0348843680635511,-0.002,0.45023696682464454
002913,0.007297645236042274,0.0,0.45023696682464454
002311,-0.009037527107287774,0.0,0.45023696682464454
300522,-0.0024519970068221835,0.0,0.45023696682464454
300416,-0.014432818661983551,-0.001,0.45023696682464454
300144,-0.0015655263197369106,0.0,0.45023696682464454
002602,0.05615279358421756,0.003,0.45023696682464454
002821,-0.006833224706914963,0.0,0.45023696682464454
300602,0.0024423361184013346,0.0,0.44549763033175355
300458,0.01137435664865548,0.001,0.44549763033175355
002212,0.0019003510270930756,0.0,0.44549763033175355
002938,0.0041374842147501815,0.0,0.44549763033175355
300147,-0.027092471013542643,-0.001,0.44549763033175355
000895,0.006191642728221183,0.0,0.44549763033175355
002343,-0.023529576820840056,-0.001,0.44549763033175355
300590,0.0008256687838046009,0.0,0.44549763033175355
300672,0.029075817856294577,0.001,0.44549763033175355
000938,0.006935960048245288,0.0,0.44549763033175355
002415,0.005600989821205568,0.0,0.44549763033175355
300783,0.0034175649821522303,0.0,0.44549763033175355
002831,0.01761839030350924,0.001,0.44549763033175355
300357,0.001518832466509122,0.0,0.44549763033175355
300418,0.011593730344438185,0.001,0.44549763033175355
300567,-0.015630776371325466,-0.001,0.44549763033175355
300467,0.027918886031987382,0.001,0.44549763033175355
300607,0.006023293377380621,0.0,0.44549763033175355
002847,0.014026114144677148,0.001,0.44075829383886256
